x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,y
0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.99511,0.050063,0.0037563,0.00031309,2.74E-05,2.47E-06,2.28E-07,4.20E-08,2.28E-07,2.46E-06,2.74E-05,0.00031271,0.0037518,0.050003,0.050063,0.1
0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.9932,0.055084,0.0045467,0.00041689,4.01E-05,3.97E-06,4.05E-07,8.18E-08,4.04E-07,3.97E-06,4.01E-05,0.0004161,0.0045381,0.05498,0.055084,0.11
0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96153,0.96154,0.96153,0.96153,0.96154,0.96153,0.96154,0.060109,0.005413,0.00054147,5.69E-05,6.14E-06,6.84E-07,1.49E-07,6.72E-07,6.03E-06,5.59E-05,0.00053191,0.0053175,0.059048,0.060109,0.12
0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99543,0.99544,0.99543,0.99543,0.99544,0.99543,0.99544,0.065138,0.0063555,0.00068876,7.84E-05,9.17E-06,1.11E-06,2.64E-07,1.11E-06,9.17E-06,7.84E-05,0.00068865,0.0063545,0.065128,0.065138,0.13
0.99482,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.99482,0.99482,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.99482,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.99482,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.99482,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.99482,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.99482,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948,0.99482,0.9948,0.9948,0.9948,0.9948,0.9948,0.99482,0.9948,0.9948,0.9948,0.9948,0.99482,0.9948,0.9948,0.9948,0.99482,0.9948,0.9948,0.99482,0.9948,0.99482,0.070173,0.0073742,0.00086068,0.00010546,1.33E-05,1.73E-06,4.44E-07,1.73E-06,1.33E-05,0.00010545,0.00086057,0.0073732,0.070163,0.070173,0.14
0.99384,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99384,0.99384,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99384,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99384,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99384,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99384,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99384,0.99381,0.99381,0.99381,0.99381,0.99381,0.99381,0.99384,0.99381,0.99381,0.99381,0.99381,0.99381,0.99384,0.99381,0.99381,0.99381,0.99381,0.99384,0.99381,0.99381,0.99381,0.99384,0.99381,0.99381,0.99384,0.99381,0.99384,0.075213,0.0084695,0.0010592,0.00013906,1.88E-05,2.63E-06,7.19E-07,2.63E-06,1.88E-05,0.00013902,0.0010589,0.0084673,0.075193,0.075213,0.15
0.99356,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99356,0.99356,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99356,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99356,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99356,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99356,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99356,0.99353,0.99353,0.99353,0.99353,0.99353,0.99353,0.99356,0.99353,0.99353,0.99353,0.99353,0.99353,0.99356,0.99353,0.99353,0.99353,0.99353,0.99356,0.99353,0.99353,0.99353,0.99356,0.99353,0.99353,0.99356,0.99353,0.99356,0.080258,0.0096414,0.0012862,0.00018013,2.60E-05,3.89E-06,1.13E-06,3.89E-06,2.60E-05,0.00018013,0.0012862,0.0096414,0.080258,0.080258,0.16
0.99274,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.99274,0.99274,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.99274,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.99274,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.99274,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.99274,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.99274,0.9927,0.9927,0.9927,0.9927,0.9927,0.9927,0.99274,0.9927,0.9927,0.9927,0.9927,0.9927,0.99274,0.9927,0.9927,0.9927,0.9927,0.99274,0.9927,0.9927,0.9927,0.99274,0.9927,0.9927,0.99274,0.9927,0.99274,0.08531,0.01089,0.0015438,0.00022972,3.52E-05,5.62E-06,1.73E-06,5.62E-06,3.52E-05,0.00022972,0.0015438,0.01089,0.08531,0.08531,0.17
0.99185,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.99185,0.99185,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.99185,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.99185,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.99185,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.99185,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.99185,0.9918,0.9918,0.9918,0.9918,0.9918,0.9918,0.99185,0.9918,0.9918,0.9918,0.9918,0.9918,0.99185,0.9918,0.9918,0.9918,0.9918,0.99185,0.9918,0.9918,0.9918,0.99185,0.9918,0.9918,0.99185,0.9918,0.99185,0.090369,0.012217,0.0018338,0.00028894,4.69E-05,7.94E-06,2.58E-06,7.94E-06,4.69E-05,0.00028894,0.0018337,0.012217,0.090369,0.090369,0.18
0.99091,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99091,0.99091,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99091,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99091,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99091,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99091,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99091,0.99085,0.99085,0.99085,0.99085,0.99085,0.99085,0.99091,0.99085,0.99085,0.99085,0.99085,0.99085,0.99091,0.99085,0.99085,0.99085,0.99085,0.99091,0.99085,0.99085,0.99085,0.99091,0.99085,0.99085,0.99091,0.99085,0.99091,0.095435,0.01362,0.0021582,0.00035898,6.15E-05,1.10E-05,3.78E-06,1.10E-05,6.15E-05,0.00035898,0.0021582,0.01362,0.095435,0.095435,0.19
